Document ID,Department,class_ids,text_file
8366374,Administration,0," Comapany Name is Heraa international travel services.Job keywords are SCHS  Saudi Health Council ,  Practitioner  ,   Physician.Job Industry is Travel / Tourism.Other skills required are SCHS  Saudi Health Council,Practitioner,Physician.Job departments are Nursing.Salary provided is .Job Description is as follows : ."
8125246,Administration,0,"Alliance Recruitment AgencyComapany Name is Alliance Recruitment Agency.Job keywords are suppliers  ,   exp, ters of Dec,   Dec,  paper ,   Dec, ative paper ,   deco printing paper.Job Industry is Travel / Tourism.Other skills required are suppliers,exp,ters of Dec,Dec,paper,Dec,ative paper,deco printing paper.Job departments are Administration / Facility / Transport.Salary provided is .Job Description is as follows : ."
8203166,Administration,0," Comapany Name is Jobtrack Management Services Pvt. Ltd..Job keywords are Fill cart with supplies  ,   transp, t cart.Job Industry is Travel / Tourism.Other skills required are Fill cart with supplies,transp,t cart.Job departments are Front Office / Receptionist.Salary provided is .Job Description is as follows : ."
8203252,Administration,0," Comapany Name is Jobtrack Management Services Pvt. Ltd..Job keywords are kitchen operations  ,  sous chef runs the operation flawlessly.Job Industry is Travel / Tourism.Other skills required are kitchen operations,sous chef runs the operation flawlessly.Job departments are Kitchen.Salary provided is .Job Description is as follows : ."
8394452,Administration,0," Comapany Name is T.Y. Tours &amp; Travels.Job keywords are appointments,meetings ,  conferences.Job Industry is Travel / Tourism.Other skills required are meetings,conferences.Job departments are Company Secretary.Salary provided is .Job Description is as follows : ."
8366376,Administration,0," Comapany Name is Heraa international travel services.Job keywords are administering medications ,   managing intravenous lines.Job Industry is Travel / Tourism.Other skills required are administering medications,managing intravenous lines.Job departments are Nursing.Salary provided is .Job Description is as follows : ."
8087663,Administration,0,"Apex visas-India s Fastest Visa Provider, is a Pune based company that has endeavored since its inception in 2010 to bring a one stop solution to your visa related queries, Our  services which include - Overseas Education assistance, Visitor Visa, Business Visa, FOREX, Ticketing, Tour Packages etc.A.V. Immigration &amp; Career Consultancy Pvt. Ltd. (Apex Visas) is Pune based company that has endeavored since its inception in 2010 to bringa one stop solutionto all your migration related queries.We are well known in the immigration circle for our specialized services &amp; are praised by our clients for enriching their experience in Visa facilitation. We have a global presence with a strategic network of own and associate offices in 25 locations across the world. We are planning to extend our services to over 50 offices by the year end.The core team of Apex Visas is spearheaded by people with more than twenty years of domain expertise. They have precision knowledge in the fields of Immigration, Visa processing and other related services. To ensure prompt and hassle free services we have a team of handpicked executives who go through rigorous &amp; in-depth training on country specific immigration and visa processing norms &amp; rules to arm them with the requisite knowledge. Our executives have thorough knowledge &amp; hands-on experience in dealing with immigration procedures followed by Embassies &amp; High Commissions.Once you register you are assigned a case-officer who will guide you through the entire application process and assist you at every stage. They work in tandem with you to complete the process on time ensuring successful results.Just walk into any of our offices around the globe and you can talk to our counsellor to learn more about the country of your interest. With our tailor made solutions, you will have a flexibility to choose the right package that is both appropriate and affordable.Comapany Name is A V Immigration and Careers Consultancy Private Limited.Job keywords are administration,reception, office, ms, desk, front, entry, data.Job Industry is Travel / Tourism.Other skills required are reception,office,ms,desk,front,entry,data.Job departments are Data Entry,Front Office / Receptionist.Salary provided is < Rs 50,000  - 2.0 Lakh/Yr.Job Description is as follows : Job Description :&nbsp;- Attending Incoming &amp; Outgoing calls with proper etiquettes and maintaining records for them- Responding the telephonic call and carry out the conversations politely and timely manner- Handling multiple telephone lines in timely manner and direct the calls to the concerned person / extension- Differentiating the incoming calls and walk-ins and handle them appropriately- Greeting and assisting visitors and Guests- To sort out incoming mails at enquiry inbox and distribute to the concerned Department / Executive and responding them in case of customer enquiries- Maintenance of Attendance Register and keeping a track on Outdoor Duties of the Executives / Staff- To do the data entry, prepare presentations, make reports whenever required by the team- Maintaining Courier Register.."
8381302,Administration,0," Comapany Name is Futurista Consulting LLP hiring for Leading Digital Media Agency.Job keywords are communication skill  ,  people skill ,  computer skill.Job Industry is Travel / Tourism.Other skills required are communication skill,people skill,computer skill.Job departments are Front Office / Receptionist.Salary provided is .Job Description is as follows : ."
8031354,Administration,0," Comapany Name is International Institute of Travel.Job keywords are reconciliation, remittancesor, government, excelor, documentsor, hstor, foreign, payrollor, exchangeor, exporting, invoicingor, wordor, receptionor, bank.Job Industry is Travel / Tourism.Other skills required are reconciliation,remittancesor,government,excelor,documentsor,hstor,foreign,payrollor,exchangeor,exporting,invoicingor,wordor,receptionor,bank.Job departments are Administration / Facility / Transport.Salary provided is .Job Description is as follows : Basic concepts of accounting and general knowledge of QuickBooks Pro are a must, as well as experience in running a front office in a manufacturing environment. Ideal candidate has excellent communication and organizational skills in customer service. Job duties include but are not limited to: A/P, A/R, Payroll, Government remittances, HST, Foreign exchange, Exporting documents, Excel, Word, Reception, Invoicing, Bank reconciliation, Order processing. Training and office manual are available.."
7802891,Administration,0,"We are established recruitment firm providing manpower in hyderabad , bangalore , delhi ncr , kolkata , ahmadabad , pune , mumbai in manufacturing , electrical , automobile , IT , tours &amp; travels , hotels , aviation , insurance , banking , finance .Comapany Name is Career Strategy Solutions.Job keywords are admin, admin facilities management, executive, administrative, assistance.Job Industry is Travel / Tourism.Other skills required are admin,admin facilities management,executive,administrative,assistance.Job departments are Administration / Facility / Transport.Salary provided is Rs 1.5  - 2.5 Lakh/Yr.Job Description is as follows : Hi ,We have an urgent requirement for Admin Executive for South Delhi Location for our client .&nbsp;GOOD ENGLISH SPEAKING SKILLS REQUIRED&nbsp;&nbsp;EXPERIENCE : 3-10 YEARS&nbsp;&nbsp;SALARY - UPTO 17K IN HAND&nbsp;SATURDAY SUNDAY OFF&nbsp;ONLY SOUTH DELHI CANDIDATES ARE ELIGIBLE&nbsp;&nbsp;Contact on 9560093132 / 9873139718 between 10 am to 7 pm from Monday - Friday .&nbsp;Thanks &amp; Regards,Career Strategy Solutions&nbsp;www.careerstrategysolutions.com."
